2019;Ethos de la présence;Oraisons pour un vivant
2020;Ethos de la présence;Perdre le corps
2019;Ethos mémoriel;Perdus
1948;Ethos de la présence;Poèmes nègres sur des airs africains
2015;Ethos d'opposition;Pour le bonheur des miens 
2023;Ethos de genre;Quand les racines chantent
1983;Ethos de la présence;Quêtes
2005;Ethos mémoriel;Reine Pokou. Concerto pour un sacrifice
1969;Ethos de genre;Rencontres essentielles
2015;Ethos d'opposition;Rendez-vous avec l’heure qui blesse
2022;Ethos d'opposition;Rendez-vous PK6
1999;Ethos de genre;Riwan ou le chemin de sable
2019;Ethos de la présence;Rouge impératrice
2023;Ethos mémoriel;Rwanda 94 : l'ange et les furies
2011;Ethos de la migrance ;Samba pour la France 
2012;Ethos environnemental;Sans parole ni poignée de main
2008;Ethos de la migrance ;Solo d'un revenant 
1960;Ethos mémoriel;Souffles
1960;Ethos mémoriel;Soundjata ou l'épopée mandingue
1988;Ethos de la migrance ;Sous le regard des étoiles…
1987;Ethos de la présence;Taaw
1983;Ethos de la présence;Tams-Tams et danses nocturnes
2008;Ethos de la migrance ;Tels des astres éteints 
2014;Ethos d'opposition;Terre ceinte
2023;Ethos de la présence;Tu as fait de moi celui qui enjambe le monde
2023;Ethos de la migrance ;Un arc-en-ciel dans les ténèbres 
2020;Ethos de la présence;Un cri dans la nuit
2022;Ethos mémoriel;Un prisonnier sans étoile
1991;Ethos de la migrance ;Un rêve utile 
2018;Ethos mémoriel;Un si beau diplôme 
1982;Ethos d'opposition;Une journée dans la vie d'Augustine Amaya
1979;Ethos de genre;Une si longue lettre
2023;Ethos de la migrance ;Vous, les ancêtres
