Murambi, le livre des ossements;Ethos mémoriel
Un prisonnier sans étoile;Ethos mémoriel
Le rêve du pêcheur ;Ethos mémoriel
Soundjata ou l'épopée mandingue;Ethos mémoriel
Souffles;Ethos mémoriel
Joal;Ethos mémoriel
Dis-moi pour qui j’existe ?;Ethos mémoriel
Le Baroud d’honneur;Ethos mémoriel
Rwanda 94 : l'ange et les furies;Ethos mémoriel
Perdus;Ethos mémoriel
Le Royaume de Nyoka;Ethos mémoriel
L'or des rivières;Ethos mémoriel
"Aux tirailleurs sénégalais morts pour la France";Ethos mémoriel
Un si beau diplôme ;Ethos mémoriel
Confidences;Ethos mémoriel
Le roi de Kahel;Ethos mémoriel
